,dateTime,symbol,change
0,2022-03-17 11:30:00-04:00,GOOG,0
1,2022-03-17 12:30:00-04:00,GOOG,-0.15976749545769817%
2,2022-03-17 13:30:00-04:00,GOOG,-0.5369102206423082%
3,2022-03-17 14:30:00-04:00,GOOG,0.217110936784493%
4,2022-03-17 15:30:00-04:00,GOOG,-0.22761712016353347%
5,2022-03-18 09:30:00-04:00,GOOG,0.03079401539737009%
6,2022-03-18 10:30:00-04:00,GOOG,-0.4089280309140637%
7,2022-03-18 11:30:00-04:00,GOOG,-0.2966266871235136%
8,2022-03-18 12:30:00-04:00,GOOG,-0.09269784659509768%
9,2022-03-18 13:30:00-04:00,GOOG,-0.0966217973632238%
10,2022-03-18 14:30:00-04:00,GOOG,-0.46212797848941606%
11,2022-03-18 15:30:00-04:00,GOOG,-0.2772208039966573%
12,2022-03-21 09:30:00-04:00,GOOG,-0.4886253991412589%
13,2022-03-21 10:30:00-04:00,GOOG,0.3187185813057116%
14,2022-03-21 11:30:00-04:00,GOOG,-0.07693036195632941%
15,2022-03-21 12:30:00-04:00,GOOG,0.1344245851306344%
16,2022-03-21 13:30:00-04:00,GOOG,0.7556398460506049%
17,2022-03-21 14:30:00-04:00,GOOG,0.06894590479003984%
18,2022-03-21 15:30:00-04:00,GOOG,-0.41523600024281965%
19,2022-03-22 09:30:00-04:00,GOOG,-2.37586473209447%
20,2022-03-22 10:30:00-04:00,GOOG,-1.257304166487956%
21,2022-03-22 11:30:00-04:00,GOOG,0.049466513913427566%
22,2022-03-22 12:30:00-04:00,GOOG,0.5698973566767875%
23,2022-03-22 13:30:00-04:00,GOOG,0.1152525564852111%
24,2022-03-22 14:30:00-04:00,GOOG,-0.24046982955321194%
25,2022-03-22 15:30:00-04:00,GOOG,0.09530694984728608%
26,2022-03-23 09:30:00-04:00,GOOG,0.5171861090703216%
27,2022-03-23 10:30:00-04:00,GOOG,-0.06217004060025536%
28,2022-03-23 11:30:00-04:00,GOOG,0.009641832931619354%
29,2022-03-23 12:30:00-04:00,GOOG,0.29497612064857254%
30,2022-03-23 13:30:00-04:00,GOOG,0.4982113796113628%
31,2022-03-23 14:30:00-04:00,GOOG,-0.16808252864459886%
32,2022-03-23 15:30:00-04:00,GOOG,-0.030171801166163366%
33,2022-03-24 09:30:00-04:00,GOOG,-0.3549708683042467%
34,2022-03-24 10:30:00-04:00,GOOG,-0.3726630665293593%
35,2022-03-24 11:30:00-04:00,GOOG,-0.30618364000313114%
36,2022-03-24 12:30:00-04:00,GOOG,0.08693746188619135%
37,2022-03-24 13:30:00-04:00,GOOG,0.029540146797153027%
38,2022-03-24 14:30:00-04:00,GOOG,-0.440347772883866%
39,2022-03-24 15:30:00-04:00,GOOG,-0.22646825810234256%
40,2022-03-25 09:30:00-04:00,GOOG,-0.39817145536885706%
41,2022-03-25 10:30:00-04:00,GOOG,0.05071662819208205%
42,2022-03-25 11:30:00-04:00,GOOG,0.7875992478636243%
43,2022-03-25 12:30:00-04:00,GOOG,-0.13036038015664056%
44,2022-03-25 13:30:00-04:00,GOOG,-0.3664270037241995%
45,2022-03-25 14:30:00-04:00,GOOG,-0.02085558461128797%
46,2022-03-25 15:30:00-04:00,GOOG,-0.057946939168826775%
47,2022-03-28 09:30:00-04:00,GOOG,-0.22425592040803025%
48,2022-03-28 10:30:00-04:00,GOOG,0.38231762489240273%
49,2022-03-28 11:30:00-04:00,GOOG,0.4141996096002012%
50,2022-03-28 12:30:00-04:00,GOOG,-0.16267833048328298%
51,2022-03-28 13:30:00-04:00,GOOG,-0.25372444315159576%
52,2022-03-28 14:30:00-04:00,GOOG,-0.37546544580595537%
53,2022-03-28 15:30:00-04:00,GOOG,-0.06202087390844036%
54,2022-03-29 09:30:00-04:00,GOOG,-1.5396903801700927%
55,2022-03-29 10:30:00-04:00,GOOG,0.25301038324807074%
56,2022-03-29 11:30:00-04:00,GOOG,0.01791184857747664%
57,2022-03-29 12:30:00-04:00,GOOG,0.2319617870974567%
58,2022-03-29 13:30:00-04:00,GOOG,-0.31755293102019133%
59,2022-03-29 14:30:00-04:00,GOOG,0.07261747658340881%
60,2022-03-29 15:30:00-04:00,GOOG,-0.08380000196956747%
61,2022-03-30 09:30:00-04:00,GOOG,0.31060876790752684%
62,2022-03-30 10:30:00-04:00,GOOG,-0.012201670641852973%
63,2022-03-30 11:30:00-04:00,GOOG,0.30734419478500924%
64,2022-03-30 12:30:00-04:00,GOOG,0.028332968361461767%
65,2022-03-30 13:30:00-04:00,GOOG,-0.0006999885099447026%
66,2022-03-30 14:30:00-04:00,GOOG,0.07587139423076923%
67,2022-03-30 15:30:00-04:00,GOOG,0.12387157268715543%
68,2022-03-31 09:30:00-04:00,GOOG,0.049054106808111286%
69,2022-03-31 10:30:00-04:00,GOOG,0.5291115770852215%
70,2022-03-31 11:30:00-04:00,GOOG,-0.0022970492466710853%
71,2022-03-31 12:30:00-04:00,GOOG,0.42602832532180535%
72,2022-03-31 13:30:00-04:00,GOOG,-0.13270719039697593%
73,2022-03-31 14:30:00-04:00,GOOG,-0.22865965458681725%
74,2022-03-31 15:30:00-04:00,GOOG,0.27680272791094174%
75,2022-04-01 09:30:00-04:00,GOOG,0.4854774159079446%
76,2022-04-01 10:30:00-04:00,GOOG,-0.10623861938199432%
77,2022-04-01 11:30:00-04:00,GOOG,0.28944365155497326%
78,2022-04-01 12:30:00-04:00,GOOG,0.1366946539171896%
79,2022-04-01 13:30:00-04:00,GOOG,-0.25718524830738376%
80,2022-04-01 14:30:00-04:00,GOOG,-0.22683059022132043%
81,2022-04-01 15:30:00-04:00,GOOG,0.0553408511440227%
82,2022-04-04 09:30:00-04:00,GOOG,-1.9801678198206378%
83,2022-04-04 10:30:00-04:00,GOOG,-0.16183536909187465%
84,2022-04-04 11:30:00-04:00,GOOG,-0.05699114575786686%
85,2022-04-04 12:30:00-04:00,GOOG,-0.047055775252799734%
86,2022-04-04 13:30:00-04:00,GOOG,0.3063288470299822%
87,2022-04-04 14:30:00-04:00,GOOG,-0.024889668976753234%
88,2022-04-04 15:30:00-04:00,GOOG,-0.10286529651746071%
89,2022-04-05 09:30:00-04:00,GOOG,0.13631097307578122%
90,2022-04-05 10:30:00-04:00,GOOG,0.9288616329333268%
91,2022-04-05 11:30:00-04:00,GOOG,0.1818917913316638%
92,2022-04-05 12:30:00-04:00,GOOG,-0.1271530853170467%
93,2022-04-05 13:30:00-04:00,GOOG,0.012870017289953847%
94,2022-04-05 14:30:00-04:00,GOOG,0.10725822441140859%
95,2022-04-05 15:30:00-04:00,GOOG,0.37869944355981433%
96,2022-04-06 09:30:00-04:00,GOOG,1.145827302205393%
97,2022-04-06 10:30:00-04:00,GOOG,1.0121688430796127%
98,2022-04-06 11:30:00-04:00,GOOG,0.291470403549918%
99,2022-04-06 12:30:00-04:00,GOOG,0.45824066890137294%
100,2022-04-06 13:30:00-04:00,GOOG,-0.8999817157064214%
101,2022-04-06 14:30:00-04:00,GOOG,0.29216702504037206%
102,2022-04-06 15:30:00-04:00,GOOG,0.28286743204218345%
103,2022-04-07 09:30:00-04:00,GOOG,0.09866584576494061%
104,2022-04-07 10:30:00-04:00,GOOG,0.6294397937965023%
105,2022-04-07 11:30:00-04:00,GOOG,0.41418428631492404%
106,2022-04-07 12:30:00-04:00,GOOG,-0.10309883253494222%
107,2022-04-07 13:30:00-04:00,GOOG,-0.3077161530129444%
108,2022-04-07 14:30:00-04:00,GOOG,-0.5274882527118906%
109,2022-04-07 15:30:00-04:00,GOOG,0.048606259655579784%
110,2022-04-08 09:30:00-04:00,GOOG,0.8969405783858976%
111,2022-04-08 10:30:00-04:00,GOOG,0.29357798165137616%
112,2022-04-08 11:30:00-04:00,GOOG,0.16599226226076555%
113,2022-04-08 12:30:00-04:00,GOOG,-0.006030408198330945%
114,2022-04-08 13:30:00-04:00,GOOG,0.3542156176534144%
115,2022-04-08 14:30:00-04:00,GOOG,0.17794060373175793%
116,2022-04-08 15:30:00-04:00,GOOG,0.11545451937939395%
117,2022-04-11 09:30:00-04:00,GOOG,1.3482213538630614%
118,2022-04-11 10:30:00-04:00,GOOG,1.193163359435274%
119,2022-04-11 11:30:00-04:00,GOOG,0.1865258644675988%
120,2022-04-11 12:30:00-04:00,GOOG,0.015250875505464572%
121,2022-04-11 13:30:00-04:00,GOOG,0.02746135040748305%
122,2022-04-11 14:30:00-04:00,GOOG,0.24570175618352832%
123,2022-04-11 15:30:00-04:00,GOOG,0.3549311156682698%
124,2022-04-12 09:30:00-04:00,GOOG,-1.6562226986153914%
125,2022-04-12 10:30:00-04:00,GOOG,0.9990659222190582%
126,2022-04-12 11:30:00-04:00,GOOG,0.23913026677615398%
127,2022-04-12 12:30:00-04:00,GOOG,0.6124469401033463%
